"You are currently subscribed to 'General Subscription'","Sie sind momentan für das Abo 'Allgemeines' eingetragen."
"CleverReach Settings","CleverReach Einstellungen"
"The CleverReach plugin will synchronize all subscriptions and orders with your account.","Das CleverReach Plugin synchronisiert alle Abos und Bestellungen mit Ihrem Benutzerkonto."
"API Key","API Schlüssel"
"This can be found on your Listsettings page in CleverReach.","Dies können Sie auf auf der Seite mit den Listeneinstellungen in CleverReach finden."
"CleverReach Form ID","CleverReach Formular ID"
"Create new Form in your CleverReach backend, if you want to use Double Opt-in","Wenn Sie das Double-Opt-In-Verfahren verwenden möchten, erstellen Sie bitte ein neues Formular in Ihrem CleverReach Backend."
"Enable Douple Opt-in","Double-Opt-In aktivieren"
"General Subscribers List ID","ID der Generelle-Abonnenten-Liste"
"Enable Orders Tracking","Bestellungsverfolgung aktivieren"
"Sync sales with CleverReach. Required for ordertracking. Note: this will currently NOT work with the Multishipping Checkout","Verkäufe mit CleverReach synchronisieren. Notwendig für die Bestellungsverfolgung. Anmerkung: Im Moment funktioniert dieses Feature NICHT für Checkouts mit Mehrfachversand."
"Force order reactivation","Reaktivierung der Bestellung erzwingen"
"Separate customers by groups automatically","Kunden automatisch nach Gruppen aufteilen"
"During customers synchronization, they will be inserted in associated CleverReach groups lists","Während der  Synchronisierung der Kundenliste werden die neuen Kunden automatisch in die angegebenen CleverReach-Gruppen Listen einsortiert"
"API keys for user groups","API Schlüssel für Nutzergruppen"
"Hide 'General' subscription for groups","Das 'Allgemein' Abo für Gruppen verstecken"
"If 'No' - then not 'General' user group users, will have possibility to subscribe for both: 'General' and '% Group' newsletter. If 'Yes' - just to '% Groups' newsletter","Bei 'Nein' - Nutzer, die nicht zur Nutzergruppe 'Allgemein' gehören, können sowohl den Newsletter 'Allgemein', als auch den Newsletter '% Gruppe' abonnieren. Bei 'Ja' - Nutzer können nur die entsprechenden '% Gruppe' Newsletter abonnieren"
"CleverReach Search Settings","CleverReach Einstellungen"
"Feed-URL","Feed-URL"
"Copy this Feed-URL to your CleverReach account. Store Id is optional parameter, add it in case, if you want use feed for other stores","Kopieren Sie diese Feed-URL in Ihren CleverReach-Account. Die Store ID ist optional. Fügen Sie diese hinzu, wenn Sie den Feed noch für andere Stores nutzen wollen"
"Password","Passwort"
"Create your own password for CleverReach feed","Erstellen Sie Ihr eigenes Passwort für den CleverReach-Feed"
"Magento user groups","Magento-Nutzergruppen"
"CleverReach Group","CleverReach-Gruppe"
"CleverReach Form","CleverReach-Formular"
"Add keys for group","Schlüssel für Gruppen hinzufügen"
"Newsletter Subscribers","Newsletter-Abonnenten"
"Magento subscribers list has been deactivated since deactivation will most likly happen in Cleverreach.","Die Abonnenten Liste in Magento wurde deaktiviert, da die Steuerung hauptsächlich in CleverReach erfolgen wird."
"Please use your Cleverreach account to activate/deactivate your subscribers.","Bitte verwenden Sie ihren CleverReach Acoount um Abonnenten zu aktivieren oder zu deaktivieren."
"CleverReach Connect general information","Allgemeine Informationen zu CleverReach Connect"
"CleverReach client ID","CleverReach Kunden ID"
"Name","Name"
"Company","Firma"
"E-Mail","E-Mail"
"Login","Anmelden"
"CleverReach Connect General list information","Information zu allgemeinen Liste in CleverReach Connect"
"List name","Listenname"
"Last mailing","Letztes Mailing"
"Active receivers","Aktive Empfänger"
"Inactive receivers","Inaktive Empfänger"
"Total receivers","Empfänger gesamt"
"Synchronize data with CleverReach","Daten mit CleverReach synchronisieren"
"Warning: Please wait untill the synchronization is finished. Depending on the amount of data this might take a while.","Warnung: Bitte warten Sie bis die Synchronisierung abgeschlossen ist. Je nach Datenmenge, kann dies einige Minuten dauern."
"Connection to Cleverreach Server failed","Verbindung mir dem CleverReach-Sever fehlgeschlagen"
"Your API key seems to be invalid. Please check it!","Ihr API Schlüssel scheint ungültig zu sein. Bitte überprüfen Sie ihn."
"Your list ID (%s) seem to be wrong. Please correct it!","Ihre Listen ID (%s) scheint falsch zu sein. Bitte berichtigen Sie die ID."
"Can not connect to CleverReach account. Please check your Cleverreach settings.","Verbindung zum CleverReach-Account nicht möglich. Bitte prüfen sie Ihre CleverReach Einstellungen."
"Never Sent","Nie versendet"
"Active Subscribers in Magento system","Aktive Abonnenten im Magento-System"
"Inactive Subscribers in Magento system","Inaktive Abonnenten im Magento-System"
"Synchronization successfull. %s users were transmitted.","Synchronisierung erfolgreich. %s Nutzer wurden übertragen."
"Error occured while synchronization process. Please try again later","Während der Synchronisierung ist ein Fehler aufgetreten. Bitte versuchen Sie es später noch einmal."
"Add new group","Neue Gruppe hinzufügen"
"Please select subscribers group","Bitte wählen sie die Abonnenten-Gruppe aus."
"Confirm key","Schlüssel bestätigen"
"Your list ID (%s) seem to be wrong. Please select other group!","Ihre Listen-ID (%s) scheint falsch zu sein. Bitte wählen Sie eine andere Gruppe aus."
"Please set your CleverReach user group in Extension settings section.","Bitte wählen Sie Ihre CleverReach Nutzergruppe in den Einstellungen der Extenion aus"
"This Email blocked or wrong","E-Mail Adresse falsch oder blockiert"
"This Email already in our database","Diese E-Mail Adresse ist bereits in unserer Datenbank vorhanden"
"Double Opt-In enabled, please select Form(s) and Group(s) for your Customer Groups","Double-Opt-In-Verfahren aktiviert. Bitte wählen Sie Formulare und Gruppen für Ihre Kundengruppen aus."
"Category","Kategorie"
"Product","ProduKt"
"No forms to select","Keine Formulare zur Auswahl"
"No groups to select","Keine Gruppen zur Auswahl"
"Error occured while synchronization process. Please try again later.","Während der Synchronisierung ist ein Fehler aufgetreten. Bitte versuchen Sie es später noch einmal."
"Confirmation request has been sent.","Bestätigungsanfrage wurde versendet."
"Thank you for your subscription.","Vielen Dank für Ihre Registrierung."
"Please select subscribers group","Bitte wählen sie die Abonnenten-Gruppe aus."
"Please select form","Bitte wählen sie das Formular aus"
"%s Subscription","%s Abonnement"
"You are currently subscribed to '%s Subscription'","Sie sind momentan für das Abo '%s' eingetragen."
"Magento users who subscribe/unsubscribe to the newsletter will be added/removed from this CleverReach receiver list.","Shop-Kunden welche sich beim Newsletter an- oder abmelden, werden in dieser CleverReach-Empfängerliste ein- oder ausgetragen."
"Force synchronization of order Email addresses","Synchronisation der E-Mailadressen erzwingen"
"Emails from customers orders will be synchronized with CleverReach (even if they are not subscribed)","E-Mailadressen von Bestellungen werden mit Cleverreach synchronisiert (auch von nicht angemeldeten Kunden)."
"Enable M2E compatibility","Aktiviere M2E-Kompatibilität."
"Exclude eBay/Amazon orders from force synchronization","Ebay-/Amazon-Bestellungen von Synchronisation ausschließen."
"Enable Double Opt-in","Double Opt-in Aktivieren"

